,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
金融机构,635.0,232.0,5.0,0.0,65.0,2.0,180.0,0.0,3.0,3.0
额度,799.0,202.0,16.0,5.0,113.0,8.0,56.0,2.0,13.0,3.0
券商,548.0,100.0,13.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0
国债,607.0,25.0,0.0,0.0,5.0,0.0,89.0,0.0,2.0,0.0
损失,835.0,223.0,306.0,7.0,156.0,92.0,154.0,69.0,55.0,57.0
红利,401.0,18.0,4.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0
网点,452.0,58.0,33.0,4.0,44.0,1.0,32.0,0.0,2.0,0.0
市值,492.0,98.0,13.0,0.0,18.0,6.0,12.0,2.0,6.0,4.0
基点,440.0,17.0,0.0,1.0,6.0,5.0,3.0,0.0,3.0,5.0
艺术品,893.0,33.0,10.0,33.0,35.0,25.0,2.0,0.0,7.0,6.0
趋势,964.0,1023.0,26.0,377.0,594.0,163.0,159.0,38.0,67.0,92.0
水平,1579.0,1643.0,74.0,67.0,1749.0,496.0,977.0,260.0,263.0,126.0
个股,479.0,120.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
小盘,398.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
外汇,589.0,34.0,1.0,0.0,101.0,0.0,40.0,0.0,0.0,0.0
央票,364.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
费率,510.0,2.0,1.0,0.0,3.0,0.0,22.0,0.0,0.0,0.0
证券,470.0,182.0,7.0,0.0,8.0,3.0,31.0,0.0,2.0,2.0
情况,3006.0,4345.0,2029.0,125.0,3024.0,1578.0,2447.0,1892.0,809.0,659.0
持有人,369.0,56.0,6.0,1.0,20.0,0.0,12.0,0.0,9.0,0.0
百分点,712.0,761.0,1.0,4.0,26.0,3.0,130.0,20.0,7.0,7.0
全球,1923.0,974.0,64.0,377.0,1393.0,1315.0,567.0,31.0,697.0,517.0
余额,486.0,148.0,39.0,1.0,19.0,0.0,72.0,0.0,3.0,0.0
因素,1135.0,1301.0,65.0,53.0,708.0,369.0,287.0,227.0,176.0,169.0
渠道,732.0,407.0,42.0,51.0,248.0,45.0,163.0,12.0,105.0,73.0
基本面,354.0,108.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0
上市公司,708.0,812.0,11.0,6.0,32.0,6.0,43.0,1.0,7.0,14.0
整体,1096.0,1430.0,34.0,704.0,253.0,237.0,163.0,287.0,232.0,250.0
本金,344.0,48.0,14.0,0.0,43.0,0.0,11.0,0.0,2.0,0.0
股指,328.0,75.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0
信托,511.0,227.0,1.0,0.0,43.0,11.0,11.0,0.0,0.0,0.0
网银,414.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
长期,816.0,510.0,175.0,45.0,311.0,244.0,286.0,55.0,62.0,73.0
股东,780.0,893.0,43.0,4.0,35.0,6.0,32.0,5.0,26.0,25.0
藏家,276.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
现金,719.0,482.0,595.0,141.0,181.0,14.0,161.0,35.0,139.0,13.0
全线,357.0,43.0,0.0,15.0,4.0,3.0,19.0,3.0,28.0,37.0
货币政策,475.0,435.0,0.0,0.0,2.0,1.0,44.0,0.0,0.0,0.0
增长率,346.0,118.0,0.0,1.0,27.0,10.0,22.0,1.0,4.0,19.0
票据,450.0,97.0,26.0,0.0,10.0,0.0,8.0,0.0,2.0,0.0
宏观经济,423.0,432.0,1.0,0.0,5.0,0.0,83.0,0.0,0.0,0.0
支行,324.0,34.0,19.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0
企业,2703.0,9339.0,431.0,289.0,1464.0,239.0,3243.0,16.0,248.0,74.0
财富,699.0,338.0,24.0,20.0,181.0,30.0,36.0,10.0,83.0,31.0
周期,571.0,570.0,5.0,11.0,273.0,172.0,49.0,9.0,33.0,50.0
总额,521.0,362.0,30.0,3.0,98.0,19.0,164.0,21.0,19.0,17.0
银行卡,574.0,5.0,290.0,1.0,27.0,1.0,51.0,0.0,6.0,2.0
拍卖会,343.0,63.0,8.0,2.0,1.0,11.0,5.0,1.0,2.0,1.0
股票市场,241.0,29.0,2.0,0.0,5.0,1.0,2.0,0.0,0.0,3.0
压力,1236.0,1190.0,250.0,93.0,779.0,415.0,287.0,435.0,206.0,597.0
报告,964.0,1291.0,192.0,33.0,636.0,594.0,987.0,40.0,88.0,55.0
时间,1819.0,2578.0,1478.0,539.0,4523.0,5450.0,965.0,6880.0,2896.0,2390.0
金融市场,296.0,50.0,0.0,0.0,13.0,2.0,116.0,0.0,0.0,3.0
年费,318.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
单边,218.0,22.0,0.0,3.0,1.0,2.0,13.0,1.0,0.0,0.0
区间,323.0,163.0,10.0,8.0,11.0,11.0,13.0,1.0,0.0,3.0
结构性,314.0,71.0,0.0,0.0,5.0,4.0,34.0,2.0,0.0,1.0
分行,298.0,39.0,1.0,0.0,24.0,0.0,39.0,0.0,0.0,0.0
股价,432.0,367.0,0.0,2.0,6.0,1.0,7.0,1.0,37.0,5.0
专户,501.0,9.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0
数量,916.0,616.0,100.0,73.0,915.0,673.0,227.0,22.0,440.0,160.0
金融危机,780.0,895.0,70.0,47.0,466.0,27.0,1088.0,1.0,17.0,44.0
外汇市场,175.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
天相,142.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
后市,326.0,258.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0
需求,1146.0,4199.0,61.0,140.0,653.0,242.0,489.0,21.0,274.0,106.0
保险,547.0,192.0,75.0,18.0,388.0,11.0,150.0,23.0,2.0,34.0
板块,665.0,1026.0,4.0,6.0,7.0,172.0,15.0,2.0,17.0,1.0
总行,223.0,21.0,4.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0
发行量,245.0,27.0,3.0,3.0,2.0,9.0,0.0,0.0,9.0,5.0
低点,255.0,49.0,0.0,1.0,8.0,8.0,7.0,11.0,4.0,3.0
面值,263.0,18.0,29.0,2.0,19.0,0.0,4.0,0.0,8.0,0.0
增速,403.0,405.0,0.0,1.0,4.0,1.0,124.0,0.0,1.0,7.0
利好,326.0,199.0,0.0,1.0,105.0,0.0,9.0,18.0,6.0,1.0
标的,244.0,81.0,2.0,0.0,3.0,4.0,12.0,1.0,0.0,3.0
行长,247.0,29.0,5.0,1.0,6.0,1.0,27.0,0.0,0.0,1.0
成本,904.0,2528.0,82.0,37.0,487.0,226.0,253.0,9.0,125.0,493.0
书画,323.0,6.0,5.0,1.0,2.0,0.0,4.0,0.0,0.0,6.0
研究员,373.0,274.0,20.0,0.0,40.0,238.0,51.0,0.0,3.0,5.0
季度,291.0,183.0,1.0,9.0,7.0,3.0,18.0,0.0,76.0,1.0
高风险,210.0,23.0,1.0,0.0,9.0,2.0,12.0,1.0,7.0,2.0
资金面,209.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
席位,401.0,31.0,2.0,2.0,24.0,3.0,7.0,67.0,6.0,7.0
优势,1041.0,1011.0,26.0,106.0,1244.0,247.0,310.0,1816.0,406.0,182.0
邮票,462.0,2.0,26.0,5.0,33.0,3.0,4.0,0.0,1.0,1.0
收藏者,178.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0
新股,367.0,145.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
同期,321.0,158.0,6.0,7.0,17.0,16.0,32.0,7.0,20.0,108.0
危机,551.0,322.0,31.0,12.0,100.0,89.0,232.0,97.0,90.0,120.0
利润,496.0,971.0,32.0,12.0,92.0,31.0,76.0,2.0,58.0,46.0
程度,868.0,1057.0,171.0,155.0,747.0,526.0,243.0,306.0,333.0,343.0
交易员,152.0,5.0,0.0,0.0,3.0,11.0,1.0,0.0,0.0,0.0
储户,261.0,9.0,69.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
收藏家,195.0,7.0,11.0,6.0,5.0,13.0,9.0,0.0,0.0,2.0
外币,263.0,21.0,5.0,0.0,105.0,0.0,6.0,0.0,2.0,0.0
拍品,173.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
外资,410.0,391.0,8.0,15.0,42.0,7.0,113.0,0.0,1.0,2.0
业内人士,382.0,505.0,13.0,13.0,65.0,8.0,11.0,4.0,48.0,199.0
高管,342.0,205.0,16.0,9.0,65.0,5.0,64.0,9.0,21.0,10.0
成交额,225.0,46.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0
空间,834.0,1347.0,100.0,159.0,265.0,783.0,232.0,317.0,264.0,427.0
金鹰,185.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
藏品,215.0,3.0,17.0,8.0,2.0,19.0,6.0,0.0,0.0,5.0
短期,289.0,246.0,3.0,3.0,82.0,22.0,9.0,10.0,7.0,5.0
私募,248.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
港元,406.0,464.0,4.0,4.0,14.0,0.0,78.0,0.0,6.0,725.0
利差,166.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
力度,475.0,566.0,51.0,34.0,105.0,32.0,573.0,21.0,38.0,35.0
蓝筹,157.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
文物,610.0,47.0,67.0,0.0,23.0,352.0,326.0,1.0,3.0,28.0
柜台,240.0,9.0,75.0,27.0,31.0,5.0,19.0,1.0,3.0,4.0
下限,175.0,21.0,0.0,0.0,7.0,3.0,9.0,3.0,3.0,0.0
交易所,245.0,19.0,2.0,0.0,5.0,0.0,2.0,2.0,20.0,1.0
新规,211.0,25.0,8.0,0.0,35.0,0.0,17.0,2.0,0.0,0.0
短线,188.0,45.0,0.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0
股权,489.0,715.0,16.0,0.0,25.0,1.0,62.0,6.0,6.0,13.0
系统性,145.0,18.0,2.0,0.0,9.0,12.0,8.0,0.0,1.0,0.0
总体,416.0,488.0,9.0,20.0,143.0,69.0,336.0,78.0,59.0,44.0
债务,406.0,227.0,122.0,2.0,37.0,6.0,94.0,2.0,3.0,2.0
原因,1194.0,1936.0,766.0,122.0,1127.0,842.0,435.0,899.0,456.0,736.0
期货,220.0,33.0,6.0,0.0,8.0,0.0,33.0,0.0,0.0,0.0
同业,175.0,23.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,5.0
股份,372.0,427.0,19.0,2.0,81.0,6.0,20.0,4.0,16.0,5.0
高点,180.0,85.0,3.0,0.0,5.0,2.0,5.0,7.0,3.0,3.0
不确定性,197.0,114.0,0.0,1.0,22.0,25.0,9.0,10.0,5.0,1.0
指标,462.0,592.0,33.0,18.0,183.0,77.0,199.0,10.0,12.0,21.0
存量,355.0,460.0,0.0,0.0,2.0,1.0,26.0,0.0,1.0,1.0
翡翠,485.0,5.0,3.0,14.0,4.0,2.0,0.0,0.0,13.0,2.0
游资,214.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
首付,429.0,347.0,5.0,0.0,5.0,0.0,11.0,0.0,0.0,2.0
态势,305.0,506.0,2.0,6.0,49.0,9.0,94.0,12.0,18.0,24.0
工具,394.0,163.0,196.0,25.0,139.0,326.0,51.0,2.0,184.0,42.0
媒体,531.0,1371.0,457.0,264.0,781.0,1367.0,1435.0,901.0,911.0,2512.0
外资银行,134.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
晨星,107.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
迹象,348.0,471.0,46.0,5.0,50.0,259.0,53.0,69.0,21.0,12.0
赝品,166.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0
消息,756.0,815.0,679.0,51.0,558.0,2830.0,1211.0,2365.0,869.0,1133.0
工作,826.0,1946.0,1714.0,251.0,4741.0,1443.0,4932.0,361.0,550.0,1504.0
增量,186.0,131.0,1.0,0.0,1.0,5.0,14.0,0.0,2.0,0.0
副行长,129.0,29.0,13.0,0.0,1.0,0.0,13.0,0.0,0.0,4.0
信心,530.0,675.0,66.0,42.0,129.0,59.0,408.0,396.0,61.0,319.0
管理费,168.0,20.0,6.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0
借款人,226.0,115.0,5.0,0.0,34.0,0.0,14.0,0.0,0.0,0.0
低位,162.0,58.0,1.0,0.0,3.0,1.0,4.0,80.0,0.0,0.0
历史,1025.0,1185.0,152.0,166.0,973.0,916.0,623.0,631.0,720.0,1186.0
总监,386.0,429.0,37.0,107.0,229.0,28.0,33.0,7.0,154.0,173.0
状况,524.0,694.0,133.0,22.0,335.0,236.0,439.0,243.0,129.0,146.0
现象,675.0,1377.0,233.0,44.0,590.0,1041.0,200.0,67.0,95.0,229.0
项目,843.0,13642.0,255.0,85.0,3570.0,1283.0,1604.0,53.0,1000.0,310.0
热钱,219.0,240.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,9.0
拍卖行,139.0,6.0,7.0,2.0,5.0,10.0,2.0,0.0,19.0,2.0
增幅,294.0,551.0,4.0,2.0,89.0,5.0,67.0,1.0,9.0,27.0
格局,243.0,307.0,5.0,8.0,19.0,13.0,71.0,8.0,33.0,74.0
票型,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
定期存款,124.0,14.0,0.0,0.0,20.0,0.0,5.0,0.0,0.0,0.0
经济体,137.0,49.0,0.0,0.0,10.0,1.0,37.0,0.0,0.0,0.0
部门,1007.0,1937.0,996.0,18.0,687.0,347.0,2221.0,36.0,105.0,138.0
古玩,166.0,0.0,16.0,1.0,4.0,2.0,0.0,0.0,1.0,6.0
蓝筹股,121.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
中小企业,373.0,127.0,3.0,0.0,34.0,11.0,266.0,0.0,0.0,1.0
工银,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
账单,170.0,4.0,23.0,1.0,46.0,4.0,0.0,3.0,2.0,0.0
上限,230.0,60.0,8.0,4.0,84.0,10.0,47.0,12.0,129.0,13.0
管理层,201.0,99.0,4.0,3.0,13.0,5.0,14.0,178.0,18.0,1.0
杠杆,179.0,123.0,0.0,1.0,11.0,9.0,13.0,0.0,2.0,0.0
收入,1102.0,2672.0,295.0,64.0,1526.0,78.0,648.0,64.0,229.0,401.0
生活,253.0,1894.0,1008.0,690.0,3179.0,685.0,467.0,145.0,561.0,1993.0
名家,160.0,20.0,2.0,3.0,6.0,2.0,4.0,0.0,0.0,7.0
关口,133.0,29.0,2.0,1.0,14.0,4.0,17.0,3.0,0.0,7.0
财政,410.0,651.0,43.0,3.0,182.0,30.0,1060.0,27.0,40.0,9.0
画家,271.0,9.0,15.0,13.0,23.0,29.0,3.0,0.0,1.0,68.0
盘面,97.0,10.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0
密码,395.0,9.0,167.0,27.0,46.0,44.0,5.0,2.0,82.0,12.0
早盘,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
万家,91.0,11.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
网上银行,112.0,1.0,7.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
可能性,372.0,326.0,42.0,25.0,110.0,468.0,110.0,167.0,92.0,122.0
买家,319.0,535.0,39.0,47.0,39.0,17.0,7.0,18.0,12.0,27.0
活动,560.0,1942.0,583.0,1239.0,2056.0,1352.0,1495.0,258.0,3612.0,1121.0
宏观,165.0,179.0,0.0,0.0,9.0,14.0,33.0,0.0,5.0,3.0
市价,168.0,72.0,3.0,0.0,8.0,2.0,19.0,0.0,1.0,1.0
营业部,125.0,12.0,17.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
效应,249.0,356.0,7.0,24.0,37.0,120.0,43.0,15.0,49.0,86.0
学生,139.0,133.0,2433.0,180.0,26438.0,256.0,564.0,30.0,106.0,366.0
合同,671.0,1216.0,431.0,25.0,243.0,55.0,170.0,1086.0,32.0,62.0
经济学家,190.0,255.0,3.0,3.0,47.0,6.0,18.0,2.0,0.0,2.0
条款,227.0,113.0,45.0,2.0,80.0,5.0,103.0,39.0,10.0,9.0
证券市场,111.0,48.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
次贷,34.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
港股,146.0,47.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
契约,116.0,39.0,10.0,1.0,5.0,0.0,3.0,1.0,26.0,4.0
收藏品,106.0,17.0,3.0,10.0,3.0,6.0,2.0,0.0,1.0,3.0
世界,452.0,819.0,199.0,400.0,2190.0,1698.0,1077.0,82.0,1834.0,687.0
年报,206.0,200.0,1.0,4.0,2.0,0.0,3.0,0.0,1.0,1.0
发行期,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
原油,149.0,9.0,8.0,0.0,3.0,72.0,74.0,0.0,1.0,0.0
成长性,107.0,38.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
结构,510.0,872.0,35.0,81.0,117.0,880.0,363.0,18.0,64.0,140.0
成交量,338.0,2557.0,4.0,2.0,0.0,1.0,14.0,0.0,0.0,0.0
背景,592.0,833.0,55.0,52.0,893.0,249.0,191.0,46.0,734.0,513.0
view,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
回报率,132.0,139.0,6.0,0.0,15.0,1.0,0.0,0.0,1.0,4.0
比重,224.0,310.0,5.0,14.0,81.0,18.0,105.0,9.0,17.0,14.0
动力,347.0,311.0,25.0,22.0,117.0,341.0,144.0,73.0,71.0,56.0
油价,153.0,27.0,5.0,2.0,16.0,6.0,68.0,0.0,0.0,2.0
个贷,84.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
单笔,121.0,14.0,2.0,60.0,3.0,3.0,1.0,1.0,6.0,0.0
充足率,99.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欠款,148.0,18.0,57.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0
玉器,162.0,0.0,1.0,5.0,1.0,4.0,2.0,0.0,0.0,1.0
外汇储备,165.0,40.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0
画作,114.0,0.0,5.0,6.0,15.0,12.0,2.0,0.0,3.0,1.0
门槛,313.0,219.0,17.0,8.0,557.0,18.0,40.0,18.0,53.0,10.0
收盘价,118.0,101.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
措施,586.0,658.0,260.0,16.0,447.0,199.0,1664.0,30.0,65.0,44.0
客服,322.0,28.0,38.0,14.0,44.0,5.0,4.0,0.0,455.0,0.0
跌势,77.0,11.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
油画,188.0,2.0,6.0,10.0,29.0,17.0,5.0,0.0,6.0,21.0
基础,671.0,947.0,67.0,158.0,980.0,374.0,881.0,86.0,344.0,260.0
流通股,120.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美股,65.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
保险公司,160.0,25.0,36.0,0.0,48.0,9.0,19.0,11.0,2.0,4.0
通知,319.0,350.0,118.0,7.0,149.0,16.0,372.0,21.0,13.0,42.0
人员,1152.0,1454.0,2993.0,81.0,1731.0,2729.0,1890.0,304.0,466.0,1143.0
换手率,136.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
红木,375.0,2.0,15.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0
限额,177.0,16.0,8.0,1.0,38.0,6.0,47.0,2.0,5.0,0.0
地方,553.0,2678.0,506.0,161.0,976.0,1010.0,1306.0,336.0,485.0,801.0
分歧,167.0,58.0,30.0,1.0,25.0,23.0,98.0,15.0,14.0,34.0
商户,213.0,134.0,95.0,31.0,13.0,2.0,17.0,0.0,1.0,2.0
阶段性,137.0,111.0,0.0,4.0,7.0,13.0,49.0,1.0,1.0,5.0
赤字,132.0,2.0,1.0,0.0,8.0,2.0,55.0,1.0,2.0,0.0
币种,76.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
op,71.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,8.0,3.0
散户,99.0,35.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
特征,287.0,210.0,100.0,61.0,63.0,495.0,54.0,2.0,59.0,44.0
涨势,103.0,75.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,3.0
纪念币,130.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
核心,516.0,1036.0,87.0,83.0,222.0,306.0,282.0,404.0,297.0,114.0
